t_ms,raw,volts,ohms
64650,3481.8,2.806,1761.0
64700,3479.2,2.804,1770.0
64750,3482.1,2.806,1760.0
64800,3485.7,2.809,1748.0
64850,3484.2,2.808,1753.0
64900,3482.5,2.806,1759.0
64950,3486.3,2.809,1746.0
65000,3482.4,2.806,1759.0
65050,3484.1,2.808,1754.0
65100,3483.9,2.808,1754.0
65150,3483.5,2.807,1755.0
65200,3487.6,2.811,1742.0
65250,3487.8,2.811,1741.0
65300,3484.1,2.808,1753.0
65350,3485.5,2.809,1749.0
65400,3490.6,2.813,1731.0
65450,3487.6,2.811,1742.0
65500,3494.0,2.816,1720.0
65550,3489.6,2.812,1735.0
65600,3494.6,2.816,1718.0
65650,3492.8,2.815,1724.0
65700,3489.2,2.812,1736.0
65750,3488.8,2.811,1738.0
65800,3491.9,2.814,1727.0
65850,3497.4,2.818,1709.0
65900,3490.1,2.813,1733.0
65950,3497.1,2.818,1710.0
66000,3494.8,2.816,1717.0
66050,3494.8,2.816,1718.0
66100,3492.5,2.814,1725.0
66150,3494.0,2.816,1720.0
66200,3493.3,2.815,1722.0
66250,3493.6,2.815,1721.0
66300,3481.3,2.805,1763.0
66350,3455.3,2.784,1852.0
66400,3395.7,2.736,2059.0
66450,3393.4,2.735,2068.0
66500,3558.4,2.868,1508.0
66550,3619.0,2.916,1315.0
66600,3639.4,2.933,1252.0
66650,3652.4,2.943,1212.0
66700,3662.9,2.952,1180.0
66750,3662.8,2.952,1180.0
66800,3668.6,2.956,1162.0
66850,3672.6,2.96,1150.0
66900,3676.6,2.963,1138.0
66950,3679.6,2.965,1129.0
67000,3678.3,2.964,1133.0
67050,3682.1,2.967,1121.0
67100,3685.1,2.97,1112.0
67150,3685.9,2.97,1110.0
67200,3686.1,2.971,1109.0
67250,3689.2,2.973,1100.0
67300,3687.2,2.971,1106.0
67350,3688.3,2.972,1103.0
67400,3695.9,2.978,1080.0
67450,3695.6,2.978,1081.0
67500,3694.5,2.977,1084.0
67550,3693.8,2.977,1086.0
67600,3695.7,2.978,1080.0
67650,3698.6,2.981,1072.0
67700,3696.1,2.979,1079.0
67750,3699.1,2.981,1070.0
67800,3702.6,2.984,1060.0
67850,3697.9,2.98,1074.0
67900,3705.0,2.986,1053.0
67950,3702.3,2.983,1061.0
68000,3702.0,2.983,1062.0
68050,3701.1,2.983,1064.0
68100,3700.6,2.982,1066.0
68150,3703.4,2.984,1057.0
68200,3702.4,2.984,1060.0
68250,3702.6,2.984,1060.0
68300,3705.9,2.986,1050.0
68350,3703.6,2.985,1057.0
68400,3706.4,2.987,1048.0
68450,3708.1,2.988,1044.0
68500,3706.7,2.987,1048.0
68550,3699.9,2.982,1068.0
68600,3604.8,2.905,1360.0
68650,3565.8,2.874,1484.0
68700,3535.7,2.849,1582.0
68750,3517.8,2.835,1641.0
68800,3502.4,2.822,1692.0
68850,3495.7,2.817,1714.0
68900,3493.7,2.815,1721.0
68950,3492.1,2.814,1726.0
69000,3497.6,2.819,1708.0
69050,3501.1,2.821,1696.0
69100,3501.8,2.822,1694.0
69150,3504.6,2.824,1685.0
69200,3506.7,2.826,1678.0
69250,3504.2,2.824,1686.0
69300,3508.4,2.827,1672.0
69350,3506.3,2.826,1679.0
69400,3509.9,2.829,1667.0
69450,3510.4,2.829,1665.0
69500,3509.5,2.828,1668.0
69550,3515.1,2.833,1650.0
69600,3512.8,2.831,1657.0
69650,3515.1,2.833,1650.0
69700,3513.1,2.831,1656.0
69750,3517.3,2.834,1642.0
69800,3513.2,2.831,1656.0
69850,3513.1,2.831,1656.0
69900,3517.2,2.834,1643.0
69950,3518.2,2.835,1640.0
70000,3517.9,2.835,1640.0
70050,3517.7,2.835,1641.0
70100,3518.6,2.836,1638.0
70150,3518.2,2.835,1640.0
70200,3520.9,2.837,1630.0
70250,3517.9,2.835,1640.0
70300,3516.8,2.834,1644.0
70350,3514.8,2.832,1651.0
70400,3512.6,2.831,1658.0
70450,3513.5,2.831,1655.0
70500,3513.7,2.832,1654.0
70550,3510.8,2.829,1664.0
